ID,paper,location,species,temperature,d18_O_w,d18_O,d18_O_sd,d18_O_w_sd,class,functional_group,composition
7,Grossman (1986),84G2-18,Hoeglundina elegans,20.1,0.9,1.16,0.11,0.14,foraminifera,benthos,Aragonite
10,Grossman (1986),84G4-13,Hoeglundina elegans,18.5,0.9,0.94,0.11,0.14,foraminifera,benthos,Aragonite
11,Grossman (1986),84G4-13,Hoeglundina elegans,18.5,0.9,0.66,0.11,0.14,foraminifera,benthos,Aragonite
12,Grossman (1986),84G4-13,Uvigerina flintii,18.5,0.9,-0.02,0.11,0.14,foraminifera,benthos,Calcite
14,Grossman (1986),83G3-17,Hoeglundina elegans,16.9,0.9,1.18,0.11,0.14,foraminifera,benthos,Aragonite
15,Grossman (1986),83G3-17,Uvigerina flintii,16.9,0.9,1.02,0.11,0.14,foraminifera,benthos,Calcite
16,Grossman (1986),83G3-17,Uvigerina flintii,16.9,0.9,1,0.11,0.14,foraminifera,benthos,Calcite
21,Grossman (1986),84G4-14,Hoeglundina elegans,15.3,0.8,2.02,0.11,0.14,foraminifera,benthos,Aragonite
22,Grossman (1986),84G4-14,Hoeglundina elegans,15.3,0.8,1.92,0.11,0.14,foraminifera,benthos,Aragonite
23,Grossman (1986),84G4-14,Hoeglundina elegans,15.3,0.8,2.01,0.11,0.14,foraminifera,benthos,Aragonite
24,Grossman (1986),84G4-14,Uvigerina flintii,15.3,0.8,1.12,0.11,0.14,foraminifera,benthos,Calcite
25,Grossman (1986),84G4-14,Uvigerina flintii,15.3,0.8,0.97,0.11,0.14,foraminifera,benthos,Calcite
26,Grossman (1986),84G3-3,Hoeglundina elegans,15,0.5,2.18,0.11,0.14,foraminifera,benthos,Aragonite
27,Grossman (1986),84G3-3,Uvigerina peregrina,15,0.5,1.87,0.11,0.14,foraminifera,benthos,Calcite
29,Grossman (1986),84G2-16,Hoeglundina elegans,13,0.5,1.19,0.11,0.14,foraminifera,benthos,Aragonite
30,Grossman (1986),84G2-16,Hoeglundina elegans,13,0.5,1.55,0.11,0.14,foraminifera,benthos,Aragonite
31,Grossman (1986),84G2-16,Uvigerina flintii,13,0.5,1.43,0.11,0.14,foraminifera,benthos,Calcite
33,Grossman (1986),G85-4-1,Hoeglundina elegans,12,0.3,2.12,0.11,0.14,foraminifera,benthos,Aragonite
34,Grossman (1986),G85-4-1,Uvigerina peregrina,12,0.3,1.05,0.11,0.14,foraminifera,benthos,Calcite
37,Grossman (1986),29587,Hoeglundina elegans,10.5,-0.3,2.1,0.11,0.14,foraminifera,benthos,Aragonite
