p                                   mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
sigma                              0.837  0.033   0.779    0.900      0.001    0.001    2110.0    1608.0   1.00
a                                 15.497  0.910  13.759   17.162      0.046    0.033     398.0     730.0   1.00
b                                 -3.828  0.232  -4.265   -3.383      0.010    0.007     572.0     949.0   1.00
sigma_a                            2.909  0.757   1.667    4.321      0.030    0.021     618.0    1036.0   1.00
sigma_b                            0.649  0.210   0.282    1.026      0.008    0.006     671.0     837.0   1.00
a_raw_cibicides_pachyderma        -0.375  0.321  -0.959    0.239      0.015    0.011     431.0     648.0   1.00
b_raw_cibicides_pachyderma        -0.886  0.506  -1.923   -0.053      0.019    0.014     655.0    1152.0   1.00
a_raw_cibicidoides_wuellerstorfi  -2.006  0.554  -2.969   -0.939      0.021    0.015     673.0     930.0   1.00
b_raw_cibicidoides_wuellerstorfi   1.334  0.542   0.429    2.435      0.017    0.012     981.0    1182.0   1.00
a_raw_globorotalia_menardii        0.789  0.446  -0.002    1.694      0.017    0.012     689.0    1015.0   1.00
b_raw_globorotalia_menardii        0.916  0.546  -0.116    1.932      0.016    0.012    1155.0    1464.0   1.00
a_raw_hoeglundina_elegans          1.184  0.432   0.373    1.975      0.019    0.014     491.0     742.0   1.00
b_raw_hoeglundina_elegans         -0.210  0.371  -0.970    0.434      0.016    0.011     535.0     788.0   1.01
a_raw_neogloboquadrina_dutertrei   0.907  0.472   0.098    1.827      0.017    0.012     736.0    1386.0   1.00
b_raw_neogloboquadrina_dutertrei   0.811  0.603  -0.340    1.940      0.016    0.012    1471.0    1351.0   1.00
a_raw_orbulina_universa           -0.413  0.446  -1.207    0.465      0.017    0.012     725.0    1173.0   1.00
b_raw_orbulina_universa           -1.050  0.623  -2.214    0.116      0.017    0.012    1388.0    1397.0   1.00
a_raw_planulina_ariminensis       -0.648  0.386  -1.414    0.031      0.016    0.012     565.0    1085.0   1.00
b_raw_planulina_ariminensis       -0.050  0.784  -1.498    1.433      0.016    0.018    2271.0    1359.0   1.00
a_raw_planulina_foveolata         -0.617  0.352  -1.263    0.059      0.016    0.012     460.0     787.0   1.00
b_raw_planulina_foveolata         -0.695  0.693  -1.987    0.620      0.018    0.013    1464.0    1433.0   1.00
a_raw_uvigerina_curticosta         0.524  0.617  -0.639    1.622      0.020    0.014     991.0    1371.0   1.00
b_raw_uvigerina_curticosta        -0.359  0.823  -1.887    1.223      0.020    0.018    1761.0    1201.0   1.00
a_raw_uvigerina_flintii            0.323  0.336  -0.368    0.879      0.016    0.011     439.0     655.0   1.00
b_raw_uvigerina_flintii            0.701  0.756  -0.694    2.143      0.017    0.015    2023.0    1441.0   1.00
a_raw_uvigerina_peregrina          0.267  0.333  -0.365    0.854      0.015    0.011     474.0     762.0   1.00
b_raw_uvigerina_peregrina         -0.340  0.452  -1.183    0.476      0.017    0.012     686.0     983.0   1.00
a_cibicides_pachyderma            14.467  0.184  14.103   14.783      0.004    0.003    1813.0    1969.0   1.00
b_cibicides_pachyderma            -4.354  0.179  -4.701   -4.021      0.004    0.003    2494.0    1470.0   1.00
a_cibicidoides_wuellerstorfi       9.959  0.679   8.710   11.246      0.015    0.011    2016.0    1348.0   1.00
b_cibicidoides_wuellerstorfi      -3.015  0.231  -3.440   -2.586      0.005    0.004    1975.0    1217.0   1.00
a_globorotalia_menardii           17.687  0.868  16.042   19.330      0.019    0.013    2173.0    1622.0   1.00
b_globorotalia_menardii           -3.264  0.281  -3.754   -2.698      0.006    0.004    2083.0    1692.0   1.00
a_hoeglundina_elegans             18.734  0.132  18.501   18.995      0.003    0.002    1577.0    1438.0   1.00
b_hoeglundina_elegans             -3.949  0.054  -4.055   -3.857      0.001    0.001    1776.0    1413.0   1.00
a_neogloboquadrina_dutertrei      18.030  1.013  16.240   19.950      0.024    0.017    1846.0    1557.0   1.00
b_neogloboquadrina_dutertrei      -3.320  0.322  -3.910   -2.706      0.007    0.005    1864.0    1606.0   1.00
a_orbulina_universa               14.336  0.965  12.505   16.057      0.026    0.018    1427.0    1390.0   1.00
b_orbulina_universa               -4.486  0.372  -5.204   -3.812      0.010    0.007    1367.0    1285.0   1.00
a_planulina_ariminensis           13.706  0.615  12.575   14.914      0.013    0.009    2224.0    1531.0   1.00
b_planulina_ariminensis           -3.852  0.516  -4.832   -2.877      0.011    0.008    2302.0    1533.0   1.00
a_planulina_foveolata             13.807  0.263  13.280   14.270      0.006    0.004    2158.0    1458.0   1.00
b_planulina_foveolata             -4.267  0.411  -5.046   -3.527      0.008    0.006    2399.0    1600.0   1.00
a_uvigerina_curticosta            16.980  1.593  14.186   20.095      0.040    0.029    1545.0    1485.0   1.00
b_uvigerina_curticosta            -4.068  0.522  -5.017   -3.112      0.013    0.009    1542.0    1417.0   1.00
a_uvigerina_flintii               16.378  0.350  15.784   17.071      0.007    0.005    2365.0    1529.0   1.00
b_uvigerina_flintii               -3.376  0.473  -4.333   -2.549      0.010    0.007    2273.0    1603.0   1.00
a_uvigerina_peregrina             16.224  0.305  15.640   16.771      0.006    0.004    2819.0    1440.0   1.00
b_uvigerina_peregrina             -4.029  0.167  -4.347   -3.731      0.003    0.002    3069.0    1508.0   1.00
